doc,relation,idf
0,P186,9.527682006883547
0,P279,0.0666585848833944
0,P138,2.7354491752903245
0,P31,0.2853424691169679
0,P361,0.6014798587384753
0,P527,0.8776764278732208
0,P2579,0.7277945834728877
0,P1552,1.9887216235973135
0,P828,1.0525284860964206
0,P1557,2.0064925420336683
0,P1269,0.9409157791795444
1,P1269,0.9409157791795444
1,P828,1.0525284860964206
1,P279,0.013331716976678882
1,P361,0.6014798587384753
1,P111,2.8547959329228907
1,P1382,1.9826582459695363
1,P31,0.5706849382339358
1,P1889,0.4222951309470446
2,P31,0.5706849382339358
2,P361,0.6014798587384753
2,P180,1.0455840137436094
2,P156,1.8766110181642548
2,P1889,0.4222951309470446
2,P1995,2.297153620184342
2,P2176,3.003647503679371
2,P461,0.46913913816099057
2,P4934,3.7602954300851983
2,P279,0.026663433953357765
3,P180,1.0455840137436094
3,P31,0.8560274073509038
3,P279,0.07999030186007329
3,P1889,0.8445902618940891
3,P361,0.30073992936923766
3,P461,0.46913913816099057
3,P1552,0.4971804058993284
3,P527,0.2925588092910736
4,P180,1.0455840137436094
4,P279,0.039995150930036645
4,P527,1.7553528557464415
4,P31,0.8560274073509038
4,P361,0.6014798587384753
4,P1889,0.4222951309470446
4,P461,0.9382782763219811
4,P2579,0.7277945834728877
4,P1552,0.4971804058993284
4,P927,1.6306063368715786
4,P2175,4.38770378571516
4,P2868,2.3299840671821603
5,P828,1.0525284860964206
5,P1557,2.0064925420336683
5,P1672,6.201185078090051
5,P2578,3.071504832026321
5,P461,0.9382782763219811
5,P279,0.07999030186007329
5,P527,0.8776764278732208
5,P1552,0.9943608117986568
5,P2579,0.7277945834728877
5,P361,0.6014798587384753
5,P1889,0.4222951309470446
5,P2670,2.084861609149175
6,P279,0.07999030186007329
6,P138,2.7354491752903245
6,P31,0.5706849382339358
6,P828,2.105056972192841
6,P1557,6.019477626101005
6,P461,0.46913913816099057
6,P2579,1.4555891669457754
6,P1552,1.9887216235973135
6,P361,1.5036996468461883
6,P2789,3.2750631446097866
6,P527,1.1702352371642943
6,P927,1.6306063368715786
6,P1889,1.2668853928411337
6,P1419,3.821638943959877
6,P2670,2.084861609149175
6,P1995,0.7657178733947807
6,P2176,4.004863338239161
