doc,relation,idf,idf_wiki
0,P186,6.174151055095555,34.40738176073717
0,P138,1.5821119869329683,10.993188888813505
0,P2579,0.64719243522532,10.058269337105855
0,P828,1.289228899562091,20.111382703323162
0,P1557,1.0451996201198104,10.456276522000346
0,P2868,48.43916686166178,283.71608940867515
0,P1542,1.077375336235017,19.89952913999609
0,P927,1.8659666708932756,20.688120474654347
0,P111,1.042129778875522,10.453206680756058
0,P2176,0.8355206380824042,10.24659753996294
1,P828,0.6446144497810455,10.055691351661581
1,P111,1.042129778875522,10.453206680756058
1,P1382,3.526501622955747,22.348655426716817
1,P1542,0.5386876681175085,9.949764569998045
1,P138,1.5821119869329683,10.993188888813505
1,P2283,1.6473081864895103,11.058385088370047
2,P156,1.713298052716692,11.124374954597227
2,P1995,1.9860456793410943,30.219276384982706
2,P2176,2.5065619142472126,30.739792619888817
2,P4934,2.5672804141196144,21.389434217880687
2,P2175,2.8165211160024963,31.049751821644108
2,P155,1.3643742105338037,10.77545111241434
2,P1542,0.5386876681175085,9.949764569998045
2,P111,3.126389336626566,31.359620042268173
2,P144,3.547943113482836,12.959020015363372
2,P1478,1.950786885894606,11.361863787775142
2,P780,1.6736161381255112,11.084693040006048
3,P4934,1.2836402070598072,10.694717108940344
3,P828,0.6446144497810455,10.055691351661581
3,P1382,1.7632508114778735,11.174327713358409
3,P186,2.0580503516985185,11.469127253579055
4,P2579,0.64719243522532,10.058269337105855
4,P927,0.9329833354466378,10.344060237327174
4,P2175,1.877680744001664,20.699834547762737
4,P2868,1.9375666744664712,11.348643576347007
4,P2283,1.6473081864895103,11.058385088370047
4,P2670,1.031079942688937,10.442156844569473
4,P21,3.101092789211817,12.512169691092353
4,P1557,1.0451996201198104,10.456276522000346
4,P689,1.9632212880930338,11.374298189973569
4,P2176,1.6710412761648084,20.49319507992588
4,P828,0.6446144497810455,10.055691351661581
5,P828,1.9338433493431366,30.167074054984745
5,P1557,2.0903992402396208,20.912553044000692
5,P1672,5.577030769017057,14.988107670897593
5,P2578,2.398060169519457,21.22021397328053
5,P2579,1.29438487045064,20.11653867421171
5,P2670,1.031079942688937,10.442156844569473
5,P138,1.5821119869329683,10.993188888813505
5,P1542,0.5386876681175085,9.949764569998045
5,P186,2.0580503516985185,11.469127253579055
5,P689,1.9632212880930338,11.374298189973569
6,P138,1.5821119869329683,10.993188888813505
6,P828,1.9338433493431366,30.167074054984745
6,P1557,4.1807984804792415,41.825106088001384
6,P2579,1.29438487045064,20.11653867421171
6,P2789,6.302235534138309,43.946543141660456
6,P927,1.8659666708932756,20.688120474654347
6,P1419,3.8154850783854988,13.226561980266036
6,P2670,2.062159885377874,20.884313689138946
6,P1995,0.6620152264470315,10.073092128327568
6,P2176,4.177603190412021,51.2329876998147
6,P780,16.736161381255112,110.84693040006047
6,P2283,8.236540932447552,55.29192544185023
6,P2868,48.43916686166178,283.71608940867515
6,P689,7.852885152372135,45.497192759894276
6,P2175,3.755361488003328,41.399669095525475
6,P703,5.798661626233537,34.03189233187514
6,P1542,1.077375336235017,19.89952913999609
6,P2578,1.1990300847597286,10.610106986640265
7,P828,1.289228899562091,20.111382703323162
7,P1557,2.0903992402396208,20.912553044000692
7,P2579,0.64719243522532,10.058269337105855
7,P2175,0.938840372000832,10.349917273881369
7,P2868,1.9375666744664712,11.348643576347007
7,P2959,2.963814670585686,12.374891572466222
7,P129,3.068593621818863,12.479670523699399
7,P1995,0.6620152264470315,10.073092128327568
7,P155,1.3643742105338037,10.77545111241434
7,P1542,0.5386876681175085,9.949764569998045
7,P2176,0.8355206380824042,10.24659753996294
8,P828,1.9338433493431366,30.167074054984745
8,P156,1.713298052716692,11.124374954597227
8,P155,1.3643742105338037,10.77545111241434
8,P689,3.9264425761860675,22.748596379947138
