doc,relation,idf,idf_wiki
0,P186,6.174151055095555,13.447293130055957
0,P138,1.5821119869329683,5.728369150814558
0,P2579,0.64719243522532,10.014001217020136
0,P828,1.289228899562091,17.150967777777208
0,P1557,1.0451996201198104,10.770337906298822
0,P2868,48.43916686166178,137.6515025918482
0,P1542,1.077375336235017,19.706016426584494
0,P927,1.8659666708932756,20.97887104166484
0,P111,1.042129778875522,10.40517517721468
0,P2176,0.8355206380824042,9.513277679949534
1,P828,0.6446144497810455,8.575483888888604
1,P111,1.042129778875522,10.40517517721468
1,P1382,3.526501622955747,17.619959242992245
1,P1542,0.5386876681175085,9.853008213292247
1,P138,1.5821119869329683,5.728369150814558
1,P2283,1.6473081864895103,8.459522740193368
2,P1995,1.9860456793410943,27.20699285230218
2,P2176,2.5065619142472126,28.539833039848602
2,P4934,2.5672804141196144,22.117426439359157
2,P2175,2.8165211160024963,27.687229343683104
2,P1542,0.5386876681175085,9.853008213292247
2,P111,3.126389336626566,31.21552553164404
2,P144,3.547943113482836,7.790637830275692
2,P1478,1.950786885894606,6.603374575474467
2,P780,1.6736161381255112,8.872958079914792
3,P4934,1.2836402070598072,11.058713219679579
3,P828,0.6446144497810455,8.575483888888604
3,P1382,1.7632508114778735,8.809979621496122
3,P186,2.0580503516985185,4.482431043351986
4,P2579,0.64719243522532,10.014001217020136
4,P927,0.9329833354466378,10.48943552083242
4,P2175,1.877680744001664,18.458152895788736
4,P2868,1.9375666744664712,5.506060103673929
4,P2283,1.6473081864895103,8.459522740193368
4,P2670,1.031079942688937,7.974248905158895
4,P21,3.101092789211817,2.592921949617819
4,P1557,1.0451996201198104,10.770337906298822
4,P689,1.9632212880930338,9.887017193662237
4,P2176,1.6710412761648084,19.026555359899067
4,P828,0.6446144497810455,8.575483888888604
5,P828,1.9338433493431366,25.72645166666581
5,P1557,2.0903992402396208,21.540675812597645
5,P1672,5.577030769017057,10.89470441585254
5,P2578,2.398060169519457,21.82863742959537
5,P2579,1.29438487045064,20.02800243404027
5,P2670,1.031079942688937,7.974248905158895
5,P138,1.5821119869329683,5.728369150814558
5,P1542,0.5386876681175085,9.853008213292247
5,P186,2.0580503516985185,4.482431043351986
5,P689,1.9632212880930338,9.887017193662237
6,P138,1.5821119869329683,5.728369150814558
6,P828,1.9338433493431366,25.72645166666581
6,P1557,4.1807984804792415,43.08135162519529
6,P2579,1.29438487045064,20.02800243404027
